company,job-title,job-description,level
AppZen,Data Scientist,"It ProfessionalsGrowing AI dvlpmt co seeks Data Scientists (NLP) [50] w/ base pay $130,450-$170K/yr. Deg'd/exp'd In-house FT great compens/benefitsSend resume to AppZen, San Jose, CA 50@AppZen.com
      

        Show more

        


        Show less",Entry level
Patterned Learning AI,Data Scientist,"REMOTE (US/Canada Residing people only, with work permit)Patterned Learning – Data Scientist (Entry Level ) , FULL-TIME, Salary $100K - $130K a year.About us: The Future of AI is Patterned, a stealth-mode technology startup. Top investors include Sequoia and Anderson Horowitz, founders from Google, DeepMind, and NASA and we’re hiring for almost everything!About The Job RequirementsM.S. or PhD in Data Science/Electrical Engineering/Computer ScienceExperience in machine learning, data science or similar rolesExperience with version control systems, collaborative coding frameworks and scalable engineering tools such as DockerSolid understanding of the theory and practice of machine learning algorithmsExperience building functional prototypes and/or products in PythonDSP or/and timeseries analysis an advantageKnowledge of human physiology and bioelectric or optical sensing techniques is a nice bonusCollaborative approach with strong written and verbal communication skillsEfficient, creative and able to manage multiple projects concurrentlySpecial Benefits You Will LoveFlexible vacation, paid holidays, and paid sick days401(k) with up to 2% employer match (no match)Health, vision, and dental insurance.Schedule: 8 hour shift, Monday to Friday , Time: Flexible, Job Type: Full-time
      

        Show more

        


        Show less",Entry level
Patterned Learning AI,Data Scientist,"REMOTE (US/Canada Residing people only, with work permit)Patterned Learning – Junior Data Scientist , FULL-TIME, Salary $100K - $130K a year.About us: The Future of AI is Patterned, a stealth-mode technology startup. Top investors include Sequoia and Anderson Horowitz, founders from Google, DeepMind, and NASA and we’re hiring for almost everything!About The Job RequirementsM.S. or PhD in Data Science/Electrical Engineering/Computer ScienceExperience in machine learning, data science or similar rolesExperience with version control systems, collaborative coding frameworks and scalable engineering tools such as DockerSolid understanding of the theory and practice of machine learning algorithmsExperience building functional prototypes and/or products in PythonDSP or/and timeseries analysis an advantageKnowledge of human physiology and bioelectric or optical sensing techniques is a nice bonusCollaborative approach with strong written and verbal communication skillsEfficient, creative and able to manage multiple projects concurrentlySpecial Benefits You Will LoveFlexible vacation, paid holidays, and paid sick days401(k) with up to 2% employer match (no match)Health, vision, and dental insurance.Schedule: 8 hour shift, Monday to Friday , Time: Flexible, Job Type: Full-time
      

        Show more

        


        Show less",Entry level
SynergisticIT,Data Scientist,"SYNERGISTICIT wants every candidate to know that the Job Market is Challenging and to stand out, you need to have exceptional skills and technologies and that's where we come in to make sure you get the attention which you needSynergisticIT understands the complex nature of the job market and how difficult it can be to secure a position, especially for fresh graduates. Therefore, we assist and help tech-savvies to convert their passions into professions. We go above and beyond to keep you working in your niche.As we focus on long-term success, we provide complete career development solutions. From job search to upskilling portfolio and interview preparation, we can guide you at every step of your career.SynergisticIT spares no efforts to connect you with a large network of tech giants, including Google, Apple, PayPal, Dell, Cisco, Client, etc. Presently, we are actively looking for Entry Level Data Scientist with a driven mindset. Get the right opportunity and gain experience in building web-centric solutions on Java.Who Should Apply : Recent Computer science/Engineering /Mathematics/Statistics or Science Graduates or anyone looking to make their career in IT IndustryWe also assist in filing for STEM extension and H1b and Green card filing.Candidates who are serious about their future in the IT Industry and have set big goals for themselves.Candidates having difficulty in finding jobs or cracking interviews or who wants to improve their skill portfolio. We also offer Skill Enhancement Programs if the candidates are missing skills or experience which our clients need with great outcomesCandidates can benefit from skill enhancement if they fall into the below categories. If they are qualified with enough skills then no need for skill enhancementCandidates Who Lack ExperienceHave had a break in careersLack Technical Competencycandidates who want to get employed and make a career in the Tech IndustryPlease Also Check The Below LinksIf the skills are not a match candidates can opt for Skill enhancement. Or their resume can be sent out to clients to see if responses are achievableREQUIRED SKILLS For Java/Software ProgrammersBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleKnowledge of Core Java , javascript , C++ or software programmingSpring boot, Microservices and REST API's experienceExcellent written and verbal communication skillsFor data Science/Machine learningRequired SkillsBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleKnowledge of Statistics, Python, data visualization toolsExcellent written and verbal communication skillsPreferred skills: NLP, Text mining, Tableau, Time series analysisTechnical skills are required by clients for selection even if its Junior or entry level position each additional Technical skill helps a candidate's resume to be picked by clients over other job seekers.Clients hire candidates with the right technical skills which they need and reject candidates who lack the required technical skills.No third party candidates or c2c candidatesPlease apply to the postingNo phone calls please. Shortlisted candidates would be reached out
      

        Show more

        


        Show less",Entry level
Perfect Snacks,Data Scientist,"Company DescriptionWho We Are...Based in sunny San Diego, Perfect Snacks is the company behind The Original Refrigerated Protein Bar. Offering a line of products that boast whole food ingredients and clean food credentials, Perfect Snacks is sold online and in more than 35,000 retailers nationwide. Now more than a decade since its inception, the brand has experienced rapid growth in the last few years, as consumers flock to the fridge for fresher options. Our success is attributed to the people behind the brand, who share in our family's mission: 'To nourish worldkind with a hug, good vibes and a delicious dose of fresh whole food nutrition. To us, that’s the recipe to make life a little more, well, perfect.'Who Are We Looking For...The Data Scientist will support the Sales Operations team, as well as the broader organization, with a focus on effective data management, optimization, and cohesive reporting. This will require frequent coordination and collaboration with both internal & external team members.Job DescriptionEssential Duties:Primary database developer – design and build SQL database to house all data necessary to populate internal revenue and forecast reporting. Lead project to replicate best in class customer reporting currently in place (UNFI, KEHE, WFM) for additional customers:Walmart, Sam’s, Target, etc. (some currently provided by brokers)Be the company expert on Power BI, report availability and manage distribution of reportsMaintain current PowerBI dashboards - UNFI, KeHE, WFMLead project to automate refresh of daily revenue reportingOwn Power BI reporting of syndicated data (Nielsen, Spins) – maintain/refresh monthly current reporting, make modifications and develop new reporting as neededAid in the implementation and management of new Demand Planning system with a focus on integration into NetSuite ERP systemAssist in development of new Power BI trade/net sales/P&LAccepts responsibility for the organizational goals by taking ownership of new and different duties and identifying new opportunities within the Sales Operations team. Lead effort to gather and systematically organize customer/distributor specific data reports (WFM, Dora’s, Dot, Etc.) QualificationsSkills / Qualification / Education:Bachelor’s degree and +7 years in CPG or related field preferred with focus on business intelligenceExpert level knowledge of SQL, writing queries, developing databases, etc. Experience using Microsoft Stack (Outlook, Excel, Power BI, etc.)Experience using data visualization tools (i.e. Power BI, Tableau)Ability to manage multiple projects and deadlines simultaneouslyHigh attention to detail and passion for data integrityAbility to work across multiple data sources to provide a holistic perspectiveAbility to influence decision making across multiple levels and functions of an organization to drive resultsExcellent organizational skills and time management abilitiesAbility to make decisions and work with little supervisionAbility to work under pressure and balance multiple tasksAdditional InformationCompensation: $90-100k/ Year (DOE)Bonus / Benefits / Vacation / 401k EligibleThis role can be remote, however aplicant must live in the United StatesGot what it takes to join the Perfect Snacks family? We want to hear from you!We will only consider candidates who provide a resume and answer the below questions: Why do you want to join the Perfect Snacks family/brand? What excites you about this role? Where are you located?www.perfectsnacks.com
      

        Show more

        


        Show less",Mid-Senior level
CFD Research Corporation,Data Scientist,"CFD Research Corporation has an immediate need for a Data Scientist. This individual will support customer site work in Huntsville, AL. The Data Scientist will develop and apply interdisciplinary methods, algorithms, statistics, and research techniques in the development of data-driven solutions to extract knowledge, provide insights, and present information from data in various structures and unstructured forms. Performs advanced data analysis of heterogeneous datasets and systems Assists in the development of data products, reports, dashboards or other display techniques Evaluates data, algorithms, and their interaction to improve algorithm performance Assists with data modeling and data virtualization and writing code to preprocess and clean dataBasic Qualifications Minimum degree required is a Bachelor's in a STEM field or equivalent Minimum of 2 years of related experience Knowledge of advanced machine learning (ML) and data science techniques and tools Working knowledge of current operating systems and programming languagesOther Qualifications Experience with Deep Learning, Advanced Analytics, Neo4j, MongoDB, ArangoDB, SQL and NoSQL databases Programming experience in Python, R, Julia, TensorFlow, CUDA, JavaScript, Scala, Java, Unix/Linux, C, C++About CFD Research: Since its inception in 1987, CFD Research has worked with government agencies, businesses, and academia to provide innovative solutions within the Aerospace & Defense, Biomedical & Life Sciences, and Energy & Materials industries. Over the years CFD Research has earned multiple national awards for successful application and commercialization of innovative technology prototypes, multi-physics simulation software, multi-disciplinary analyses, and expert support services. CFD Research's impressive three-year growth rate was high enough to recognize the company in the Inc. Magazine's 5000 for the second year in a row.Benefits: CFD Research offers competitive salaries and excellent employee benefits, including an employer matching 401(k) and Employee Stock Ownership Plan (ESOP). CFD Research offers a highly competitive insurance package, including medical, vision, and dental insurance. We offer company paid leave, long-term disability, accidental death and dismemberment, and life insurance. Performance appraisals occur twice a year and pay increases are based upon corporate goals, personal development, performance, and outstanding achievements. In addition, group and individual bonuses are awarded for exceptional performance.CFD Research is an EO employer - Veterans/Disabled and other protected categoriesJob Posted by ApplicantPro


        Show more

        


        Show less",Entry level
WinMax,Data Scientist,"Job Title: Data ScientistLocation: 100% remoteDuration: 18 monthsJob DescriptionThe Microsoft Mixed Reality team works with big data. You will join the Hololens Product Integrity Group as we outline our next generation data analytics architecture, allowing us to monitor product quality, apply correlation and understanding to device measurements, and deploy new test coverage for the product.ExperienceAn Engineering B.S. with Data Science/Analytics experience, a grounding in statistics and analysis.Skills: JMP, PowerBI/ DAX Formulas, SQL manipulation, regression analysis. Also interesting: R, Python, Tableau or similar graphical reporting tools.Network infrastructure and experience architecting Azure based systems is also a plus.SkillsThis role involves H/W and Software background which allows the measurement of how the network performs.Candidate must be US Citizen or Green card holder.
      

        Show more

        


        Show less",Entry level
QATOS,Data Scientist,"Role : Data ScientistLocation : Remote (CST)(Contrect)Job DescriptionMandatory Skill : AI Cognitive AgencyManage GCP platform data loads in and out of the platform or within hybrid environmentTake offline models data scientists build and turn them into a real machine learning production systemDevelop and deploy scalable tools and services for our clients to handle machine learning training and inferenceDesign the data pipelines and engineering infrastructure to support internal clients- enterprise machine learning systems at scaleIdentify and evaluate new technologies to improve performance, maintainability, and reliability of our clients' machine learning systemsApply software engineering rigor and best practices to machine learning, including CI/CD, automation, etc.Support model development, with an emphasis on auditability, versioning, and data securityFacilitate the development and deployment of proof-of-concept machine learning systemsCommunication and requirements from various stake holders to build final requirements and track progressQualificationsExperience building end-to-end systems as a GCP Platform Engineer, ML DevOps Engineer, or Data Engineer (or equivalent)MLOps within the enterprise CI/CD process for ML modelsExperience deploying ML APIs in production environments in GCP using GKEExperience in using GCP Vertex AI for ML and BigQueryKnowledge in Terraform and Containers technologiesExperience writing data processing jobs using GCP Dataflow and DataprocExperience setting up ML model monitoring and autoscaling for ML prediction jobsStrong software engineering skills in complex, multi-language systemsFluency in Python and comfort with Linux administrationExperience working with cloud computing and database systems and cloud based various data formats NOSQL/HDFSExperience building custom integrations between cloud-based systems using APIsExperience developing and maintaining ML systems built with open source toolsExperience developing with containers and Kubernetes in cloud computing environmentsFamiliarity with one or more data-oriented workflow orchestration frameworks (KubeFlow, Airflow, Argo, etc.)Ability to translate business needs to technical requirementsStrong understanding of software testing, benchmarking, and continuous integrationExposure to machine learning methodology and best practicesExperience in deep learning approaches and modeling frameworks (PyTorch, Tensorflow, Keras, etc.
      

        Show more

        


        Show less",Entry level
PSRTEK,Data Scientist,"Position: Data ScientistLocation: Elk Grove, CA (Day 1st Onsite)ContractThe data scientist role willUse SQL to access data and build tablesUse topic modeling (or a similar NLP methodology) to process survey commentsUse Tableau to share results of NLP modelingPSRTEK is a reputed technology recruitment and IT staffing brand with a global footprint and an admired client base. As an ideas and innovation powerhouse with a culture of excellence, we bring remarkable expertise and deliver powerfully transformative results.
      

        Show more

        


        Show less",Entry level
ChabezTech LLC,Data Scientist,"Job DescriptionTitle: ML Data ScientistLocation: Oceanside, CA, 100% OnsiteDuration: Long termExperience required: 10+ yearsRoles & Responsibilities: Lead analytics projects end-to-end in partnership with Product, Engineering, and cross-functional teams to inform, influence, support, and execute product strategy and investment decisions.  Work with large and complex data sets to solve a wide array of challenging problems using different analytical and statistical approaches.  Apply technical expertise with machine learning, quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products.  Inform direction and strategic decisions for the future of ML and large scale distributed systems at Meta.  Identify opportunities and develop solutions in existing large scale distributed systems and ML stack.  Define, understand, and test opportunities and levers to improve the product through ML models and applications, and drive ML-modeling roadmaps through your insights and recommendations.  Contribute towards advancing the Data Science discipline at Meta, including but not limited to driving data best practices (e.g. analysis, goaling, experimentation, machine learning), improving analytical processes, scaling knowledge and tools, and mentoring other data scientists. Minimum Qualifications:Bachelor's degree in Mathematics, Statistics, related technical field, or equivalent practical experience.A minimum of 8 years of experience in ML Modeling,Experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, and sampling methods.Experience with applying machine learning techniques to big data systems (e.g., Spark and Hadoop) with TB to PB scale datasets.Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R).Additional InformationAll your information will be kept confidential according to EEO guidelines.
      

        Show more

        


        Show less",Mid-Senior level
