company,job-title,job-description,level
Valve corporation,Computer Vision Software Engineer,"Computer vision plays an indispensable role in modern VR experiences, providing headset and controller tracking, eye and hand tracking, 3D environment understanding, amongst others. Computer vision engineers at Valve are working on all those areas to help us achieve the next steps in VR with millions of customers world-wide.Across the computer vision engineering group, we contribute in a variety of ways: Collaborate to define product goals  Participate in conceiving, designing, and evaluating VR hardware  Develop software (in particular computer vision related) Computer vision engineers at Valve have significant industry experience. Members of our team typically have proven professional software development experience in C/C++, and have both deep understanding and hands-on experience in 3D vision algorithms, SLAM tracking, amongst others. Our team includes and looks for individuals with expertise in one or more of the following areas: SLAM/VIO/sensor fusion, visual positioning or other related directions 3D vision algorithms (traditional, deep learning based, or both - including SFM, MVS(Net), NeRF or other 3D reconstruction methods.  Object detection and tracking, 3D pose estimation or other related directions Human subject awareness, including hand tracking, eye tracking, and body tracking  Apply now!What We OfferAn organization where 100% of time is dedicated as groups see fitThe opportunity to collaborate with experts across a range of disciplinesA work environment and flexible schedule in support of families and domestic partnershipsA culture eager to become stronger through diversity of all formsExceptional health insurance coverageUnrivaled employer match for our 401(k) retirement planGenerous vacation and family leaveOn-site amenities in support of health and efficiencyFertility and adoption assistanceReimbursement for child care during interviews


        Show more

        


        Show less",Entry level
Patterned Learning AI,Junior Machine Learning Engineer,"REMOTE (US/Canada Residing people only, with work permit)Patterned Learning – Junior Machine Learning Engineer , FULL-TIME, Salary $90K - $130K a year.About us: The Future of AI is Patterned, a stealth-mode technology startup. Top investors include Sequoia and Anderson Horowitz, founders from Google, DeepMind, and NASA and we’re hiring for almost everything!About The Job Requirements2 years of experience, or an advanced degree (MSc).Experience in applied Deep Learning (DL) and Computer Vision (CV) concepts including but are not limited to: CNNs, RNNs, Autoencoders, Transfer Learning.Hands-on experience (academic and/or industrial) in 3D Pose Estimation and Motion reconstruction from images and videosProficiency in general purpose programming languages: Python, and C++.Experience with ML frameworks such as: PyTorch, Tensorflow, etc.The ideal candidate would be very well acquainted with Computer Graphics techniques, Neural Rendering, and Numerical Optimization(Optional) Knowledge of 3D packages such as Blender, Maya, or any game engine technologyBSc in Computer Science, Mathematics, Electrical Engineering, or related technical field.Ability to speak and write in English fluently and idiomatically.Special Benefits You Will LoveFlexible vacation, paid holidays, and paid sick days401(k) with up to 2% employer match (no match)Health, vision, and dental insuranceOptional supplemental insurance policies for things like accidents, injuries, hospitalizations, or cancer diagnosis and treatment.Schedule: 8 hour shift, Monday to Friday , Time: Flexible, Job Type: Full-time
      

        Show more

        


        Show less",Entry level
Path Robotics,Computer Vision Engineer,"Build the Path ForwardAt Path Robotics, we're attacking a trillion dollar opportunity - doing things that have never been done before to support an industry hurting from a lack of skilled labor. Big, hard problems are what Path tackles every day and our people are our greatest asset to get that job done. Our intelligent, hardworking team of people do the impossible every single day, yet remain incredibly kind, humble, and always ready to support one another.Our Computer Vision Engineers work to develop, evaluate, and release computer vision algorithms into production software. The role will focus on object recognition, localization, and adaptive filtering. You will report to the CV Team Lead and will join a team of dedicated, supportive, and enthusiastic people to help create the future of manufacturing. Come solve the hardest problems with the best team on the planet!What You'll DoDevelop and implement methods to quickly and accurately localize highly occluded objectsTest and evaluate current state-of-the-art methods used for scene segmentationWork towards learning based approaches requiring less data3D Point cloud matching and manipulation Stay abreast of new research and novel findings in the fields of computer vision and machine learningPartner with our other engineering teams in artificial intelligence, robotics, and software engineeringWho You AreYou have a PhD or MS in computer vision, deep learning, or something strongly relatedYou have 5+ years of research experience in developing novel computer vision algorithms or similar methods based on deep learning in such topics as image recognition, image segmentation, stereo pixel matching, geometric deep learning, object recognition using 3D spatial data. You have a solid understanding of 3D reconstruction and meshingYou have 2+ publications in computer vision fieldYou are proficient in Python and C/C++You have hands-on experience in computer vision and deep learning frameworks such as OpenCV, Tensorflow, and PytorchYou are comfortable with Git and Linux You are familiar with parallel computing, such as GPU/CUDA programmingYou are familiar with structure from motion and visual odometryYou are familiar with Kalman filter and particle filterYou are excited by the opportunity to be a part of a venture-backed company early on, where your work will have an immediate and direct impactYou are passionate about what you do and enjoy working in a collaborative environmentWho We AreAt Path Robotics we love coming to work to solve interesting and tough challenges but also because our ideas are welcomed and valued. We encourage unique thinking and are dedicated to creating a diverse and inclusive environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.To continue to keep our team safe as we navigate the pandemic, we are requiring all in office staff to submit and validate their vaccination status. Why You'll Love It HereFree lunch every dayFlexible PTOMedical, Dental and Vision insurance 6 weeks 100% paid parental leave plus an additional 6-8 weeks maternity leave for the birthing parent (12-14 weeks total)401K through EmpowerPaid Referral BonusJob Type: Full-time
      

        Show more

        


        Show less",Entry level
Neural Magic,Machine Learning Engineer,"Neural Magic is an early-stage AI software company democratizing high performance for deep learning models. Our goal is to reduce the cost and increase the performance of end-users deploying deep learning applications. Based on decades of research at MIT, Neural Magic has developed a software platform that allows developers to sparsify deep learning models to minimize footprint and run on CPUs at GPU speeds. Please look through our website and GitHub repos to get a feel of what we are about.Founded by an award-winning team of computer scientists and researchers out of MIT, we are a venture-backed company headquartered in Davis Square, Somerville, MA. Our investors include Amdocs, Andreessen Horowitz, Comcast Ventures, NEA, and Pillar VC.We are seeking a machine learning engineer to work closely with our product and research teams to develop SOTA deep learning software. This person will work closely with our technical and research teams to develop training and deployment pipelines, implement model compression algorithms, and productize deep learning research. If you are someone who wants to contribute to solving challenging technical problems at the forefront of deep learning, this is the role for you!ResponsibilitiesUse your understanding of machine learning to tackle meaningful technical problemsCollaborate with research and product development teams to build machine learning productsPrototype and implement appropriate ML algorithms, tools, and pipelinesCreate and manage training and deployment pipelinesCollaborate with a cross-functional team about market requirements and best practicesKeep abreast of developments in the fieldRequirementsProven experience as a machine learning engineer or similar roleSolid knowledge of machine learning and deep learning fundamentals with experience in one or more of computer vision, NLP, speech, reinforcement learning, generative models, etcKnowledge of common ML frameworks (like PyTorch or Keras) and libraries (like NumPy and scikit-learn)Strong programming skills with proven experience implementing Python-based machine learning solutionsAbility to interpret and implement research ideas and algorithmsCreative, collaborative, and innovation-focusedStrong sense of project ownership and personal responsibilityBachelor's in Computer Science, Mathematics or similar fieldBenefitsHealth Care Plan (Medical, Dental & Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Short Term & Long Term DisabilityTraining & DevelopmentWork From HomeFree Food & SnacksWellness ResourcesStock Option PlanWe are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
      

        Show more

        


        Show less",Associate
UCLA Health,Junior Software Engineer -  Jonsson Cancer Center,"DescriptionThe newly formed Cancer Data Sciences group at the UCLA David Geffen School of Medicine and UCLA Jonsson Comprehensive Cancer Center is seeking a programmer/analyst with research and development experience. This position will be working with a broad team of Data Scientists, developing new quantitative strategies to improve our understanding and ability to treat cancer. Our team is passionate about applying their knowledge of software-development and design to improve scientific research. We develop scalable and distributed software solutions that maximize utilization of both local high-performance computer infrastructure and a growing set of cloud-based assets. Our datasets comprise hundreds of terrabytes, and are growing rapidly, creating fascinating problems in storage, access, parallelization, distributability, optimization, containerization and core algorithm design. This requires a strong background in computer science, providing a platform for technical leadership, but linked to strong personal communication and leadership skills, to help ensure insights are broadly adopted. The successful candidate will be helping us perform research that will transform the lives of cancer patients. Your responsibilities will be to use your design, analysis and programming skills to create Data Science software, optimize existing code and improve its quality and improve distributability boost productivity of the entire team. You may have experience in data-intensive software-development or research, or you may be experienced with software-engineering in an enterprise environment. You will help drive professional-level design and development practices throughout the entire team, and serve as a local point of expertise for workflow optimization and containerization. You will be rewsponsible for one major and several minor projects at any point in time. We are in a rapid growth-phase, and the successful candidate will be involved in hiring of new team members. Beyond your strong inter-personal skills and computer science background, you will have experience with either systems software, databases or algorithms, linked to implementation skills at least one of C++, R, Perl or Python. You will be comfortable in UNIX/Linux environments and using continuous integration and CASE tools. Salary Range: $5525-$10925 Monthly
      

        Show more

        


        Show less",Entry level
AIM Intelligent Machines,Computer Vision / ML Engineer,"Computer Vision / ML Engineer (All Levels)AIM is a well-funded, mission oriented startup focused on radically scaling our civilization’s capabilities to build planetary-scale infrastructure and reverse negative effects of climate change. ( https://aim.vision )We are growing the team with motivated individuals with a passion for landing great products built with a strong engineering culture. If you find massive robots making a positive impact in the real world tantalizing, get in touch! ( https://www.aim.engineer )AIM has been built by a team of engineers, scientists, and serial entrepreneurs who previously led development of ML systems at Google, Waymo, Tesla, Apple, Google[x], Quora, Facebook and Microsoft, and are backed by General Catalyst, Human Capital, Elad Gil, Qasar Younis, Ironspring Ventures, DCVC, among other great allies.Responsibilities:Advance AIM’s perception stack and sensor fusion algorithmsThis involves breaking new ground as earth moving machines don’t merely navigate on existing mapped roads – they modify and build the environment as they work which poses interesting novel challengesResearch and development of state-of-the-art machine learning methodsComfortable with hands-on applications on machines deployed in the fieldQualifications: Proven track record of deployed ML-based perception systems, ideally on autonomous vehiclesExcellent grasp of machine perception methods and concepts, involving 2D and depth sensingExperience shipping production modelsSolid mathematical foundation of machine learningExcellent software development skills in pythonProficiency in Tensorflow and PyTorchCreativity and curiosity for solving complex problemsIdeal candidate will have expertise in reinforcement learning, and robotics, and C++What we offer:Opportunity for rapid growth and have a large voice on the direction of the companyMedical, dental, vision, 401k matching & life insuranceA position with AIM is a hybrid remote and onsite flexible expectation with a strong preference for onsiteOpportunity to travel to deployment sites around the world (US, Australia & more!)AIM is an Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status.AIM Intelligent Machine's General Privacy Policy: https://aim.vision/privacy/index.html


        Show more

        


        Show less",Not Applicable
"Koh Young Technology, Inc.",Computer Vision Engineer,"Job Functions: To research and develop scalable computer vision and machine learning solutions to a hard problem To investigate and solve exciting and difficult challenges of the real-world problems in image recognition/classification, object detection/recognition, 3D reconstruction and deep learning To design, implement, and deploy full-stack computer vision and machine learning solutionsDetailed Job Descriptions: Deep Learning Network Training and Deployment to wide range of CV application Image Enhancement Ghost removal / De-blurring / Contrast Enhancement Color Image Processing Denoising / Image Domain Transformation / Smoothing & Sharpening Segmentation Semantic Segmentation / Instance Segmentation Various Region Detection on Images Saliency / Anomaly Shape matching / Blob from multi-modal data / Model Fitting Classification Small Data driven / Big Data driven 3D / Depth image processing development Transformations / Denoising (Artifact, …) / Reconstruction / Ensemble Stereo Vision Camera Calibration / Depth EstimationEducation and ExperienceRequired: Master’s degree in Computer Science or Electrical Engineering plus 2 or more years of relevant experiencePreferred #1: Master's degree in Computer Science or Electrical Engineering plus 5 or more years of relevant experiencePreferred #2: Doctorate in Computer Science or Electrical Engineering plus 3 or more years of relevant experienceTechnical Requirements (At least, one of the below is required.)Experience to Research and Develop to Classical Computer Vision AlgorithmExperience to Research and Develop Machine LearningExperience to C++ implementation of Computer VisionSkills to programming language (At least, one of the below is required.)C++ / Python / CUDASalary rangefrom $112,066[채용 관련 개인정보 처리방침] 개인정보처리방침


        Show more

        


        Show less",Not Applicable
Neural Magic,Machine Learning Research Engineer,"Neural Magic is an early-stage AI software company democratizing high performance for deep learning models. Our goal is to reduce the cost and increase the performance of end-users deploying deep learning applications. Based on decades of research at MIT, Neural Magic has developed a software platform that allows developers to sparsify deep learning models to minimize footprint and run on CPUs at GPU speeds. Please look through our website and GitHub repos to get a feel of what we are about.Founded by an award-winning team of computer scientists and researchers out of MIT, we are a venture-backed company headquartered in Davis Square, Somerville, MA. Our investors include Amdocs, Andreessen Horowitz, Comcast Ventures, NEA, and Pillar VC.We are seeking a machine learning research engineer to work closely with our research team implementing deep learning research and using model compression techniques. This person identify, report on, and create new algorithms and models within the deep learning field. If you are someone who wants to contribute to solving challenging technical problems at the forefront of deep learning, this is the role for you!ResponsibilitiesUse your understanding of machine learning to tackle meaningful technical problemsCollaborate with research and product development teams to transform research ideas into product solutionsResearch and implement appropriate ML algorithms and toolsRun machine learning tests and experiments while optimizing hyperparametersPerform statistical analysis and fine-tuning using test resultsKeep abreast of developments in the fieldRequirementsProven experience as a machine learning researcher, engineer, or similar roleSolid knowledge of machine learning and deep learning fundamentals with experience in one or more of computer vision, NLP, speech, reinforcement learning, generative models, etcKnowledge of common ML frameworks (like PyTorch or Keras) and libraries (like NumPy and scikit-learn)Strong programming skills with proven experience implementing Python-based machine learning solutionsAbility to interpret and implement research ideas and algorithmsCreative, collaborative, and innovation-focusedStrong sense of project ownership and personal responsibilityMaster's in Computer Science, Mathematics or similar fieldBenefitsHealth Care Plan (Medical, Dental & Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Short Term & Long Term DisabilityTraining & DevelopmentWork From HomeFree Food & SnacksWellness ResourcesStock Option PlanWe are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
      

        Show more

        


        Show less",Mid-Senior level
ViaTouch Media,Computer Vision Engineer,"We are looking for an immediate hire for a computer vision engineer. Must be comfortable working on fast-paced environment and exhibit ability to balance a sense of urgency moving from R&D to deployment. You will be actively involved on one or more of these areas:Explore new vision algorithms/strategies for proof of concept assessment using vision development environmentHelp to develop more tools to enhance the capability of existing automated vision software test frameworkHelp conceive proof-of-concept prototypes that establish overall system performance You have...Bachelor's degree in Computer Science/Electrical Engineering. Master's/PhD is a plusAt-least 1+ experience in building production computer vision and imaging algorithms for image processingExpertise in at least one area of computer vision, machine learning, and computer graphics (e.g. object detection, tracking, segmentation, AR/VR, image and video processing, 3D geometry, multi- view geometry, simulation, graphics rendering)Must have strong fundamentals in computer vision concepts like intrinsic and extrinsic calibrations, homogeneous coordinates, projection matrices, and epipolar geometry. Strong coding skills in Python or C/C++Total comfort working in a Linux environmentsYou have extensive experience in OpenCV or other computer vision libraries. Preferred:Track record of publishing in top-tier computer vision or machine learning conferences or/and journals. Prior industrial experience in retail environment. Exposure to CUDA or OpenCL is preferred


        Show more

        


        Show less",Entry level
"Enterprise Minds, Inc",Machine Learning Software Engineer,"ML - Handson Tensorflow Dev -ML pipeline and process -Strong python coding skills -Experience in deploying models -API development -Flask or Django experience
      

        Show more

        


        Show less",Entry level
