company,job-title,job-description,level
Revive,Data Analyst,"We are seeking a highly analytical, self-motivated, and detail-oriented individual to join our team as a Data Analyst.As a Data Analyst, you have a knack for problem solving, are passionate about leveraging data and insights to drive key business outcomes, and are skilled in cutting through the noise to deliver value. We’re looking for somebody who is highly curious and skeptical, and as a result doesn’t accept things as they are. You play a key role on the Product & Operations team, ensuring our clients and operations team are equipped with high quality campaign data reports and workflows that meet their needs.You possess strong attention to detail and will stop at nothing to leave no stone unturned; you have an eye for process and improvement while always seeking efficiency; you have excellent time management skills and like to take immediate action when tasks come through and above all - your motivation comes from within: you are an independent self-starter that feels accomplished by helping and doing an awesome job!This is an internal role that is responsible for the delivery and optimization of business critical reporting deliverables owed to our clients and internal team. The Data Analyst will have the opportunity to learn from and grow with a dynamic, hard-working, and tight-knit team.RESPONSIBILITIES:Maintain reporting systems, including databases, tools, and connectionsCreate custom metrics in reporting dashboards for clients and internal operations stakeholdersSetup new data feeds in reporting tools when new products are offeredAutomate current manual data upload processesPerform quality assurance on data feeds, metrics, etcTroubleshoot and diagnose reporting issuesRethink or make recommendations on improvements to current processes, tools, and platformsConsult on areas of uncertainty to promote optimal use of dataRequirementsBASIC QUALIFICATIONS:4-6 Years experience in advertising, management information systems, finance, econometrics, statistics, or similarExperience creating end to end reporting workflows with both internal and external usersLand data products with internal and external stakeholders including preparing how to operationalize the data products, measure the impact of the data products and enable usersProficiency in SQLExperience with data visualization tools such as Tableau, Looker, Power BI, etcKnowledge of suitable data analytic processesCapacity to train staff in foundational data entry techniquesAbility to create, update, and share databasesStrong troubleshooting abilitiesAttentive and considerate team playerAnalytical skills that allow for the development of data-driven reportsTendency to pay close attention to small details that could impact resultsBachelor's degree or comparable experienceAbility to work within a highly collaborative, dynamic environmentAbility to legally work in the United States PREFERRED QUALIFICATIONS:Experience with R, and Python a plusStrong interest in the Digital Media/Advertising spaceExperience and knowledge of Amazon Marketing CloudStrong organizational, interpersonal, and communication (written and verbal) skillsAdept at solving problems that span business and technologyThe ability to influence process improvements that scale broadly, while inventing and simplifying within existing processesUnderstanding of digital media ad serving, technology, and associated terminologyBenefitsHealth Insurance + 401kUnlimited PTOMonthly 3-day weekendAlways RemoteWork From Home StipendTeam and Individual Performance BonusesHeadspace + MasterClass SubscriptionsAbout Revive100% RemoteWe always have been remote and always will be remote. We believe you should have the opportunity to spend more time with your kids, work at your favorite coffee shop (on us, of course), and play your favorite playlists however loud you need to get your work done. We’re all built differently and have different needs in different places. We celebrate this diversity at Revive and do everything we can to empower our teammates.A Rocket ShipWe are built on unfair advantages. Through our deep relationships, platform development, and top-notch talent and culture, the only thing slowing us down is preconceived notions. We know there are better ways of doing business than conventional methods and our rapid growth is backing it up.High Empathy, No-Ego Over-AchieversThe cat's out of the bag: Our secret sauce is our people. Our people facilitate every client interaction with empathy, make impact-driving decisions for our business, and come ready to support one another every day. If you have heart, hunger, and humility, you may be the best person to fill the next seat on our rocket ship.The Elevator PitchRevive Media unlocks growth by delivering simplicity, transparency, and quality interactions to digital advertising. We specialize in OTT and e-commerce advertising across Amazon Fire TV, Roku TV, IMDbTV, Twitch, and the open web.
      

        Show more

        


        Show less",Mid-Senior level
Phillips Connect,Data Analyst,"Why Work Here?“Opportunity for Growth - Team Atmosphere - Great Culture”Get to Know Us:Our success is powered by team members who embrace the challenges of meeting our goals and exceeding the standards set by the industry. In our pursuit of a better future, we refuse to settle.Culture:Encouraged to share new ideas, collaborate with other team members as well as customers and partners, we are not afraid to take risks and fail in our push to continuously learn new and develop new skills.Position Purpose & FocusThe successful candidate will have an understanding and demonstrated experience in data collection and analysis. In this role, you will be responsible for collecting, reviewing, and analyzing data from delivered products. You will look for trends and identify unexpected behavior from customer’s assets in the field. You will also assist with compiling information for publications and presentation.Essential Duties & ResponsibilitiesThe Reporting Data Analyst role will be responsible for collecting backend data, data preparation and delivering reporting and business intelligence, and be able to present the data through Tableau or similar tool (ad-hoc, Visme etc). Our main objective will be creating analytics for delivered units, identifying issues from customer assets in the field and assess device health diagnostics. Analyze asset history to proactively identify issues and trends. Creating and maintaining performant queries to expedite data collection/analysis times. Analyzing and manipulating data as required for Tableau analysis/presentation. Isolating and resolving data source issues with limited supervision and oversight. Scoping out business requirements and creating reports from multiple sources. Timely and accurately preparation of weekly performance reports for each customer. Collaborating with other team members to assist in data related tasks. Performs additional duties as assigned.Education and ExperienceBachelor’s degree or equivalent from a technical school preferred (i.e., computes science, Data science, Applied mathematics, or statistics2+ years of relative working experience in data and analysis. Proficient with Excel, SQL and Tableau. Knowledge of a programming language for statistical computing (Python, R, SQL). Comfortable working in a fast-paced environment and handling multi-tasks. Demonstrated experience with data visualization software (e.g., Tableau, Visme, ad-hoc) Demonstrated data analysis skills & experience. Demonstrated data collection skills & experience (e.g., creating surveys) Demonstrated problem-solving and critical thinking experience. Solid oral and written communication skills, including presentation skills. Solid interpersonal skills and ability to work in a cross-functional team environment. Solid understanding of statistical techniques and analysis.Benefits and PerksTime-Off Benefits (Paid Vacation, Sick Leave, Holidays, Bereavement)401k MatchingFull Medical (Dental, Vision, Short-Term Disability, Accident, Life insurance)Educational ReimbursementContinuing Education/Training ProgramsEmployee Assistance Plan (EAP)Pre-tax deduction of insurance premiumsDirect depositCredit unionWellness ProgramEqual Opportunity EmployerWe are an equal opportunity employer and value diversity. We make hiring and other employment related decisions based on qualifications, merit, and business need and without regard to race, color, age (except as required to comply with applicable laws), religion, creed, sex, gender (including pregnancy, childbirth, breastfeeding or related medical conditions), sexual orientation, gender identity or expression, marital or domestic partner status, ancestry, national origin, medical condition, genetic information, military or veteran status, mental or physical disability, or any other status or characteristic protected by applicable laws and regulations. We will not tolerate discrimination or harassment based on any of these characteristics.


        Show more

        


        Show less",Mid-Senior level
Zealogics Inc,Data analyst,"Key Responsibilities: Analyze data sets to determine data gaps Support the team with data analysis, such as data discovery and data usage viability Partner with team on testing with data verification, completeness, and data quality checks. Participate in data driven initiatives, such as data linage, data quality checks, data migrationQualificationsSkills Required: Bachelor's Degree in Computer Science or similar Strong communication skills, both verbal and written Have strong reasoning skills, logical deduction and apply to data analysis Present and be able to tell a story with the data analysis/reporting ?Experience working in SQL and relational databases Self-motivated individual and creative thinker who will take ownership of tasks assigned Ability to problem solve and have creative solutions in challenging environments Able to thrive in a fast-paced, high energy, demanding and team-orientated environment Good customer service skills. Ability to deal with difficult situations gracefully. Microsoft Office Suite: Word, Excel, and PowerPointSkills Desired: Knowledge of trades data, positions data, reference data. Experience with trade lifecycles and asset classes, Equity, Fixed Income, Options, Futures Understanding of Risk or Compliance Systems, such as Actimize, MANTAS, or SungardRate Range: $45-$50/hrPowered by JazzHRvpkaehKEHR
      

        Show more

        


        Show less",Mid-Senior level
Zortech Solutions,Data Analyst,"Contract Remote Role: Data AnalystDuration: 6 months contract with possible extensionLocation: Newark/Remote (primarily remote with ability to occasionally go on-site when needed).Job DescriptionThis position will support the clients Clean Energy Jobs Program, which includes following:The use of data and interpreting to develop executive reports and power points.Gather the information and statistics, analyze trends, and then use charts and graphs to present the results.Documentation of various processes by collaborating with client QA/QC team.Develop actionable roadmaps for improving workflows and processes and establish and organize KPIs in line with global directives.


        Show more

        


        Show less",Entry level
Continuum Clinical,Data Analyst,"Continuum Clinical (CC), a part of BC Worldwide, is a global clinical trial enrollment company. With over twenty-five years of experience, Continuum Clinical specializes in providing sponsors and CROs with patient recruitment and retention planning, study and site support, patient recruitment campaigns, patient advocacy and diversity & inclusion services, retention solutions, and reporting and analytics. We exist to give incredible people the opportunity to make a difference.  Values CollaborativeGenuineKind & CompassionatePride of Ownership & Accountability Job SummaryAs a Data Analyst, you will be responsible for reporting and analyzing a variety of healthcare related digital campaigns and outreach programs at the agency. This includes the design and development of program dashboards and reports, creating new reporting templates, and collaborating with other members of the Data and Analytics team to create analyses, optimizations, and recommendations across the full spectrum of digital media and other processes. You should have a strong attention to detail, familiarity with common digital reporting applications, and a solid working knowledge of analytic tools and processes. This position works closely with members of the Integrated Media, Global Site Solutions, and Account teams, and reports directly to the Director of Data and Analytics. Essential Duties and Responsibilities: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Other duties may be assigned. Demonstrate the mission, vision, values, and culture principles of BC WorldwideCreate and manage dashboards and other data visualizations in Einstein Analytics, Tableau, and Google AnalyticsServe as Subject Matter Expert for Google Analytics/Google Tag Manager setup and reportingManage and update weekly reports on Continuum program performanceAssist in the setup of new programs, including gathering requirements and customizing reportsMonitor campaign performance, analyze results, and provide fact-based recommendations for clients and internal team members on a weekly/monthly/quarterly basisIdentify and define new process improvement opportunitiesAs needed, create new ad hoc analyses based on business needsComply with all corporate and departmental standard operating procedures as well as FDA and other governmental regulations (e.g., IRB, EC).Ensure all activities and operations are performed in compliance with regulatory and federal regulations.Responsible for maintaining up to date weekly time tracking, per the Agency’s time tracking policy.Continuum Clinical QualitiesTo be successful, every BC Worldwide employee should possess the following qualities:Attitude & Commitment – you are a passionate, resourceful, and productive achiever that is a pleasure to be aroundPriority Setting – you define clear action steps and manage expectations of othersCreative Thinking & Problem Solving – you recognize therelevancy of your ideas to the big picture, demonstrate original thinking and make an impact on your teamDependability – you are self-motivated to deliver the highest quality work, on time and budgetLeadership Ability – you take initiative, motivate others, and assume accountability for your actionsCommunication – you use organized, constructive communication to facilitate great work Education, Experience, and CertificationsBachelor’s degree (master’s preferred), or equivalent work experience3-6 years in an analytical role for a digital/online/interactive firmKnowledge and experience in digital advertising analyticsSolid understanding of web analytics/tracking tag implementationSolid working knowledge of one or more analytic tools or programs (Python, SQL, R, etc.)


        Show more

        


        Show less",Associate
VTS3,Data Analyst,"We have an excellent contract opportunity for a Junior Data Analyst in New York City! If you want to have a big client's name on your resume, this is your opportunity! The AMI Meter Installation Issues Group (MIIG) of our Client is looking for a temporary resource to support the team in reviewing a large data set of meter installation issues and being able to channel the work in and out of our client's database. Excel is the primary application used by various work groups for tracking the progress of the installation.  Basic training in the use of Excel will not be provided as the applicant is expected to be proficient. Other responsibilities are:The Consultant must be proficient in analyzing and reviewing large data sets in Excel and demonstrate proficiency in using formulas (such as and not limited to Vlookup, Pivot Tables, Graphs, and Charts) to efficiently manipulate the data so that it can be imported into the database Will review and process large sets of data in the various Client databases and must be proficient in using Excel, PowerPoint, Access database, SQL, and TableauWill work independently as well as on a team - Must be self-motivatedThe Consultant will learn the functions of AMI and the Legacy applications used by the team with proper training and be able to communicate with end-user customers to resolve issues, and gaps, and collect dataWill be interacting with other vendors on the MIIG team and will be managing the database that is used to issue escalation work for the team to review and be able to receive the data in return and update the databaseThe Consultant must be flexible and able to work onsite for the first few weeks for onboarding and training. After the onboarding, we can consider transiting to a hybrid work schedule (3 days in the office and 2 days remote)The Consultant will be responsible for managing the database for tracking legacy meters to upgrade and the tracking of work for the different work streamsThe Consultant will be also responsible for managing the work of other MIIG analysts by issuing work from the database and importing reviews completed by the MIIG analyst into the databaseDevelop and deliver PowerPoint presentations to communicate status, work scope, and workflow This is an hourly position with opportunity for overtime.All Candidates Must be Authorized to Legally Work in the US Without Sponsorship**Mandatory Qualifications: (Please read carefully. They MUST be shown on your resume)Must be proficient in Access database, PowerPoint, SQL, and Tableau, Must be proficient in Excel working with Vlookup, Pivot Tables, Graphs, and ChartsMust have strong communication skills with all stakeholders (verbal and written)Must have the ability to draft documentsMust have the ability to clearly communicate technical issues and potential resolution pathsBachelor's degree and 2 years of relevant work experience OR, Associates Degree and 5 years of relevant work experienceProduce high-quality work and check work frequentlyAgile, self-motivatedMust be able to work in a team and as an individual contributorExperience developing and delivering PowerPoint presentations to communicate status, work scope, and workflowPreferably with Legacy Experience $500 Referral Fee Program Earn extra cash while helping your friends!VTS3 will pay you up to $500.00 for each person you refer to us and we place into a contract or full-time position. If you know someone who's a good candidate for any of our openings, use the ""Refer a friend"" button on this page and earn extra cash.The rules are simple:The referral must be made by using the ""Refer a friend"" button on this pageThe person you refer must be placed within 90 days of being referredThe person you refer must complete 480 billable hoursCannot be someone we already have on our team or are currently working withPowered by JazzHRHi7bfAh9Zp
      

        Show more

        


        Show less",Mid-Senior level
Hubble Contacts,Data Analyst,"Hubble Contacts (Hubble) pioneered private label daily contact lenses sold directly to consumers through a subscription-based e-commerce business model. The company was founded in 2016 with the mission of delivering high quality lenses at an affordable price point in a manner that had never been offered before.Historically, four manufacturers controlled about 95% of the contact lens category in the United States and Canada and set prices much higher than a fair and open market would tolerate. Enter Hubble: a company offering a more affordable and consumer friendly option than any product currently on the market. Hubble recently launched ContactsCart, offering its customers alternative manufacturer brands including Bausch & Lomb, CooperVision, and Johnson & Johnson at a meaningful discount. The company is also exploring strategic opportunities for new product launches including toric lenses, eyeglasses, as well as entering new distribution and retail channels.Due to the rising prevalence of eyesight disorders coupled with an increase in consumer spending, Hubble is uniquely positioned to capitalize nationally and internationally on the growth of a global contact lens market predicted to reach $17.7 billion by 2025.Position Summary:The Data Analyst is responsible for analyzing and evaluating the quality and consistency of the organization’s data. You will serve as a primary subject matter expert for technical project management and data integrations across various platforms to ensure operational excellence. This role will work cross-functionally with department stakeholders to find opportunities to streamline and improve processes, ideally automating efforts. This position requires in-depth experience, knowledge, and skills in data analytics, visualization, and technical architecture.RequirementsProactively design and build dashboards in Tableau while presenting findings and interesting trends to stakeholders.Automate reporting procedures as necessary by establishing secure and robust data links between various sources and documents.Maintain all data logs regarding revisions made to the data and version changes.Collaborate with internal partners to understand business strategy, questions, and goals while supporting all data needs.Acquire and compile structured and unstructured data and verify their quality and accuracy while providing daily spot checks to ensure the validity of the organization's data.Bring structure to business requests and ad-hoc reports for various projects, translate requirements into an analytical approach, and lead projects through to completion.Assist in developing technical solutions to survey-related projects in partnership with internal teams and internal/external engineers.Complete assessments of business processes and document each of the following areas: problem statements, process flows, gap analysis, and solution recommendations.Deconstruct technical concepts and metrics for business partners.Develop repeatable and scalable plans and processes to speed time to market and improve operational efficiency.Exercise independent judgment and discretion in matters of significance.Other Qualifications & Characteristics: Obsession with knowing the data and with understanding the business context. Willingness to do the groundwork of learning and exploring the weaknesses and strengths of various data tables and their relations to each other. Capable of writing complex SQL queries in an elegant and structured way to retrieve information that can be translated into easily interpretable and actionable reports; Capable of understanding existing query structures and can critique constructively.Advanced Excel user with experience in automating reports using Power Query; some knowledge of the DAX languageExperienced Google Sheet userExperience with building dashboards in TableauExperience with Google Analytics and various social media platformsProven ability to work both independently and collaboratively with different levels of employeesSelf-starter and self-learner. Bachelor’s Degree; STEM majors are preferred.BenefitsAt Hubble, we invest in our employees' well-being and empower them with benefits to ensure they can continue to be both happy and productive!Receive Insurance Covering, Medical, Dental & Vision. In addition, options for Flexible Spending, Health Saving Accounts, and Membership Options To One Medical, Teladoc, HealthAdvocate, and Talkspaces are also available!401k OptionCommuter BenefitsFitness Membership To ClassPassVoluntary Long-Term & Short-Term Disability InsuranceVoluntary Supplemental Life InsuranceHybrid Working EnvironmentUnlimited PTO - Geared Towards Work/Life BalanceAnnual Professional Development StipendQuarterly Team Meet Ups & Team Philantrhopic Events #HubbleCaresSalary: $70k to $95k - with bonus targets


        Show more

        


        Show less",Associate
Mb Staffing Services LLC,Data Analyst Healthcare,"Mb Staffing Services is seeking a qualified Data Analyst to assist our DC Based client with data surrounding the Opioid crisis in our region. This is an interesting role and would require the experienced Data Analyst to Respond to inbound calls in a timely and professional manner and follow identified procedures to respond, document, log, and notify the appropriate persons Ensure that reporting remains current Timely and accurate submission of all reports with an error rate no greater than 5%. Perform descriptive analyses of public health data using statistical software (SAS preferred) and produce daily reports and other analytical reports as needed Ensuring data quality and integrity, perform tasks such as electronic file transfers; listing and tabulation of data for preparation of statistical reports; and electronic file linkages Develop analytic datasets (to include, for example, data extraction, data cleaning, matching/merging, and variable coding) and document processes in codebooks, protocols, and associated guidance documents Design databases and tracking systems and monitor data collection activities for multiple surveillance programs Utilize business analytics tools, such as Tableau, to perform data analysis. Support design and recommend content, format, dissemination methods, etc. Maintain and automate reporting applications and visualizations Monitor quality assurance and quality improvement of applicable surveillance and other data systems and processes Develop strategies for improving data processing efficiency, as well as data completeness and quality. Work hours are Monday through Friday 8:30 a.m. to 5:00 p.m. This position is Hybrid Company Description In an era of constant workforce changes, Mb Staffing Services offers something you can count on: The perfect fit! We continue this with a seamless transition. We listen intently. We think strategically. And we act methodically. We respond with speed and an eye to the future! We are a precision placement, results-oriented firm serving a full spectrum of industries and staffing needs.In an era of constant workforce changes, Mb Staffing Services offers something you can count on: The perfect fit! We continue this with a seamless transition. We listen intently. We think strategically. And we act methodically. We respond with speed and an eye to the future! We are a precision placement, results-oriented firm serving a full spectrum of industries and staffing needs.
      

        Show more

        


        Show less",Entry level
Syra Health,Data Analyst,"JDC -61 Data Analyst, Tallahassee, FLAbout Syra HealthSyra Health Corp. is a pioneering healthcare technology consulting company that develops outcomes-driven solutions having a direct and quantitative benefits to the healthcare industry. We work with payers, health services companies, and life sciences companies to build solutions that create measurable business value and have a positive impact on the lives of their customers. And we are dedicated to cultivating an inclusive culture of respect, honesty, and integrity by embracing the unknown, recognize the value of diversity, and harness the power of enthusiasm.Job SummarySyra Health, a healthcare organization, is seeking a highly skilled Data Analyst to join our team. The ideal candidate will be responsible for analysing and interpreting complex healthcare data sets, including experience in Medicaid data management. The candidate should have advanced knowledge of SQL, and experience working with large data sets. The candidate will be expected to provide actionable insights to inform decision-making and improve patient outcomes.ResponsibilitiesAnalyse and interpret large and complex healthcare data sets, including experience in Medicaid data management.Develop and maintain databases, data systems, and data analytics tools to support data-driven decision-making.Extract qualitative and quantitative relationships (i.e., patterns, trends) from large amounts of publicly available data using SAS, SQL, R, Python, or other statistical toolsIdentify and interpret trends or patterns in data sets.Prepare reports and visualizations that effectively communicate insights and recommendations to management and stakeholders.Collaborate with other teams, including clinical and operational teams, to develop data-driven solutions that improve patient outcomes and reduce costs.Design and implement experiments to test hypotheses and validate assumptions.Ensure data accuracy and completeness by conducting regular data audits.Stay up to date with industry trends, best practices, and regulations related to healthcare data management.RequirementsMinimum of 3 years of experience in data analysis, preferably in healthcare.Experience creating datasets for CMS programs such as MSSP, DCE, or ACO Advanced knowledge of SQL and experience with relational databases.Experience working with Medicaid data and other healthcare data sets.Strong analytical and problem-solving skills.Ability to work independently and in a team environment.Excellent communication and presentation skills.Strong attention to detail and accuracy.Strong hands-on with data visualization tools, such as Tableau or Power BI, is a plus.Careers At Syra HealthOur objective is to make the world a better place by thinking big and seizing opportunities for ourselves, our clients, and our consumers. We are driven by a passion for health and encourage you to be unique, inquisitive, and bold. And by working together, we can increase your contribution on both your career and the world of healthcare.
      

        Show more

        


        Show less",Mid-Senior level
Alliance Consumer Group,Data Analyst,"Summary / Position Purpose: The primary responsibility of this role is to create consolidated reports, dashboards, and data analysis for the internal customers of ACG. This role will be responsible for the day-to-day support, maintenance, and improvement of our CRM and supporting platforms, as well as excel-heavy data-related projects. Their work will involve collecting and cleaning data from multiple sources, running ad hoc reports, building automated dashboards, investigating, and fixing any potential errors/bugs, and working with the Database Administrator to ensure that the information in our database is error-free for accurate reporting. Essential Duties, Functions and/or Responsibilities: Create, validate, and send daily weekly, and monthly management reports.Assistance with requests for non-standard reports and analysisSupport management reporting by maintaining hierarchical information.Perform business-to-system analysis and troubleshooting analysis of complex management reports and business problems.In the report, development lifecycle support impacts analysis and project requirements definitionTransform client needs into functional requirements.With guidance, collect, analyze, and document business requirements for project proposals including but not limited to process and data flow, user interface, and reporting requirements.Together with managers and/or senior analysts, participate in cross-functional meetings to understand customer needs and identify problems and solutions.Appropriate solutions, develop specifications, analyze, and document business processes, validate testing processes, and train the user community.Gather, clean, and transform large data sets to be used in reports and visualization.Design, develop and implement innovative/effective/strategic fully automated business solutions.Works closely with IT and business to incorporate daily automated data refreshing.Develops and provides a standard set of user-friendly reporting tools to internal business customers.Provides maintenance on deployed tools and dashboards.Assist sales & marketing teams with CRM reports and data management, building and maintaining outreach lists for up to several dozen sales and inside sales colleagues.Other duties as assigned.  Education and/or Work Experience Requirements: EDUCATION: Bachelors/4 Yr. DegreeYEARS OF RELEVANT WORK EXPERIENCE: 1+ yearsSalesforce.com (or equivalent CRM) power-user/admin experienceExpert knowledge of Microsoft Office (especially Excel)Demonstrable excel & CRM familiarity with pivot tables and other similar visual reporting tools to display/reconcile large amounts of data.Strong ability to meet deadlines and manage and prioritize simultaneous requests.Creative and analytical thinker with strong problem-solving skillsMust demonstrate ability to communicate effectively verbally and in writing with all levels of the organization.Ability to critically evaluate and prioritize information gathered from multiple sources and reconcile conflicts.Ability to assess the impact of new requirements on Salesforce and other integrated systems.Ability to safely and successfully perform the essential job functions consistent with ADA and all other applicable federal, state, and local standards, including meeting qualitative and/or quantitative productivity standards.


        Show more

        


        Show less",Entry level
