company,job-title,job-description,level
PepsiCo,Data Engineer,"OverviewPepsiCo operates in an environment undergoing immense and rapid change. Big-data and digital technologies are driving business transformation that is unlocking new capabilities and business innovations in areas like eCommerce, mobile experiences and IoT. The key to winning in these areas is being able to leverage enterprise data foundations built on PepsiCo’s global business scale to enable business insights, advanced analytics and new product development. PepsiCo’s Data Management and Operations team is tasked with the responsibility of developing quality data collection processes, maintaining the integrity of our data foundations and enabling business leaders and data scientists across the company to have rapid access to the data they need for decision-making and innovation.What PepsiCo Data Management and Operations does: Maintain a predictable, transparent, global operating rhythm that ensures always-on access to high-quality data for stakeholders across the company Responsible for day-to-day data collection, transportation, maintenance/curation and access to the PepsiCo corporate data asset Work cross-functionally across the enterprise to centralize data and standardize it for use by business, data science or other stakeholders Increase awareness about available data and democratize access to it across the companyJob DescriptionAs a member of the data engineering team, you will be the key technical expert developing and overseeing PepsiCo's data product build & operations and drive a strong vision for how data engineering can proactively create a positive impact on the business. You'll be an empowered member of a team of data engineers who build data pipelines into various source systems, rest data on the PepsiCo Data Lake, and enable exploration and access for analytics, visualization, machine learning, and product development efforts across the company.As a member of the data engineering team, you will help lead the development of very large and complex data applications into public cloud environments directly impacting the design, architecture, and implementation of PepsiCo's flagship data products around topics like revenue management, supply chain, manufacturing, and logistics. You will work closely with process owners, product owners and business users. You'll be working in a hybrid environment with in-house, onpremise data sources as well as cloud and remote systems.ResponsibilitiesActive contributor to code development in projects and services.Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.Build and own the automation and monitoring frameworks that captures metrics and operational KPIs for data pipeline quality and performance.Responsible for implementing best practices around systems integration, security, performance and data management.Empower the business by creating value through the increased adoption of data, data science and business intelligence landscape.Collaborate with internal clients (data science and product teams) to drive solutioning and POC discussions.Develop and optimize procedures to “productionalize” data science models.Define and manage SLA’s for data products and processes running in production.Support large-scale experimentation done by data scientists.Prototype new approaches and build solutions at scale.Research in state-of-the-art methodologies.Create documentation for learnings and knowledge transfer.Create and audit reusable packages or libraries.Qualifications4+ years of overall technology experience that includes at least 3+ years of hands-on software development, data engineering, and systems architecture.3+ years of experience with Data Lake Infrastructure, Data Warehousing, and Data Analytics tools.3+ years of experience in SQL optimization and performance tuning, and development experience in programming languages like Python, PySpark, Scala etc.).2+ years in cloud data engineering experience in Azure.Fluent with Azure cloud services. Azure Certification is a plus.Experience with integration of multi cloud services with on-premises technologies.Experience with data modeling, data warehousing, and building high-volume ETL/ELT pipelines.Experience with data profiling and data quality tools like Apache Griffin, Deequ, and Great Expectations.Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets.Experience with at least one MPP database technology such as Redshift, Synapse or SnowFlake.Experience with running and scaling applications on the cloud infrastructure and containerized services like Kubernetes.Experience with version control systems like Github and deployment & CI tools.Experience with Azure Data Factory, Azure Databricks and Azure Machine learning tools is a plus.Experience with Statistical/ML techniques is a plus.Experience with building solutions in the retail or in the supply chain space is a plusUnderstanding of metadata management, data lineage, and data glossaries is a plus.Working knowledge of agile development, including DevOps and DataOps concepts. Familiarity with business intelligence tools (such as PowerBI).EducationBA/BS in Computer Science, Math, Physics, or other technical fields.Skills, Abilities, KnowledgeExcellent communication skills, both verbal and written, along with the ability to influence and demonstrate confidence in communications with senior level management.Proven track record of leading, mentoring data teams.Strong change manager. Comfortable with change, especially that which arises through company growth. Able to lead a team effectively through times of change.Ability to understand and translate business requirements into data and technical requirements. High degree of organization and ability to manage multiple, competing projects and priorities simultaneously.Positive and flexible attitude to enable adjusting to different needs in an ever-changing environment.Strong leadership, organizational and interpersonal skills; comfortable managing trade-offs.Foster a team culture of accountability, communication, and self-management.Proactively drives impact and engagement while bringing others along.Consistently attain/exceed individual and team goals.Ability to lead others without direct authority in a matrixed environment.CompetenciesHighly influential and having the ability to educate challenging stakeholders on the role of data and its purpose in the business.Understands both the engineering and business side of the Data Products released.Places the user in the center of decision making.Teams up and collaborates for speed, agility, and innovation.Experience with and embraces agile methodologies.Strong negotiation and decision-making skill.Experience managing and working with globally distributed teamsCOVID-19 vaccination is a condition of employment for this role. Please note that all such company vaccine requirements provide the opportunity to request an approved accommodation or exemption under applicable lawEEO StatementAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender IdentityIf you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy.Please view our Pay Transparency Statement
      

        Show more

        


        Show less",Mid-Senior level
Massachusetts Institute of Technology,Data Engineer,"Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.


        Show more

        


        Show less",Entry level
Bloom Insurance,Data Engineer I,"To support internal and external clients via processing and handling of data. To generate data solutions for ongoing immediate day to day business needs.Essential FunctionsDay to day functions include the following:Design data models and develop database structures in Microsoft SQL server.Write various database objects like stored procedures, functions, views, triggers for various front end applications.Write SQL scripts, create SQL agent jobs to automate tasks like data importing, exporting, cleansing tasks.Create database deployment packages for deploying changes.Identify & repair inconsistencies in data, database tuning, query optimization.Able to generate ad hoc data on demand.Able to identify best practices, documentation, communicate all aspects of projects in a clear, concise mannerDevelop simple SSIS packages to perform various ETL functions including data cleansing, manipulating, importing, exporting.Develop & maintain client facing reports by using various data manipulation techniques in SSRS and Visual Studio.DocumentationOptimization recommendationsDay to day troubleshooting.NET Programming as neededEducation/ExperienceBA, BS, or Masters in computer science/related field preferred or an equivalent combination of education and experience derived from at least 2 years of professional work experienceSolid experience with various versions of MS SQL Server and TSQL programmingMicrosoft Certified DBA a plusSkills/KnowledgeStrong experience in writing efficient SQL codeWorking knowledge of SQL Server Management Studio (SSMS)Knowledge of SQL Server Reporting Services (SSRS)Knowledge of SQL Server Integration Services (SSIS)Knowledge of Red Gate DBA Tool Belt (SQL Compare, SQL Data Compare, SQL Source Control) a plusKnowledge of data science technologies is a plusClear, concise communication skills, excellent organizational skillsHighly self-motivated and directedKeen attention to detailHigh level of work intensity in a team environmentHigh integrity and values-drivenEager for professional developmentExperience and understanding of source control management a plusWhat We OfferAt Bloom, we offer an engaging, supportive work environment, great benefits, and the opportunity to build the career you always wanted. Benefits of working for Bloom include:Competitive compensation Comprehensive health benefits Long-term career growth and mentoring About BloomAs an insurance services company licensed in 48 contiguous U.S. states, Bloom focuses on enabling health plans to increase membership and improve the enrollee experience while reducing costs. We concentrate on two areas of service: technology services and call center services and are committed to ensuring our state-of-the-art software products and services provide greater efficiency and cost savings to clients.Ascend Technology ™Bloom provides advanced sales and enrollment automation technology to the insurance industry through our Ascend ™. Our Ascend™ technology platform focuses on sales automation efficiencies and optimizing the member experience from the first moment a prospect considers a health plan membership.Bloom is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.
      

        Show more

        


        Show less",Entry level
Johnson & Johnson,Data Engineer Summer Intern,"Job DescriptionAt Johnson & Johnson, we use technology and the power of teamwork to discover new ways to prevent and overcome the world’s the most significant healthcare challenges. Our Corporate, Consumer Health, Medical Devices, and Pharmaceutical teams leverage data, real-world insights, and creative minds to make life-changing healthcare products and medicines. We're disrupting outdated healthcare ecosystems and infusing them with transformative ideas to help people thrive throughout every stage of their lives. With a reach of more than a billion people every day, there’s no limit to the impact you can make here. Are you ready to reimagine healthcare?Here, your career breakthroughs will change the future of health, in all the best ways. And you’ll change, too. You’ll be inspired, and you’ll inspire people across the world to change how they care for themselves and those they love. Amplify your impact. Join us! Tasked with transforming data into a format that can be easily consumes by ML algorithms. Adept Database basics SQL, capable of basic data engineering techniques – data wrangling, data cleansing, data curation. Fluent in one of the programming languages R or Python.  Data Engineering skills, e.g., cleaning/organizing data, data preparation, data collection, data integration across different data sources, data storage, relational/non-relational database management.  Proficient in structured query language (SQL), NoSQL, MATLAB, and programming in Python or R.  Proficient in Applied Machine Learning – Experience with a variety of algorithms, Building Predictive Models, Cross-validating, Hypertuning and Deployment.  Experience with devising and implementing ML methods for protein or antibody modeling or design, or with deep learning methods that relate protein sequence, structure, property or function.  MD simulation software (e.g., Commercial tools like Schrodinger, or open-source software AMBER, GROMACS, etc.). Additionally, prior experience in homology modeling and structural refinement  Knowledgeable of AWS services including Redshift, RDS, EMR and EC2  Working knowledge using software and tools including big data tools like Kafka, Spark and Hadoop. At Johnson & Johnson, we’re on a mission to change the trajectory of health for humanity. That starts by creating the world’s healthiest workforce. Through cutting-edge programs and policies, we empower the physical, mental, emotional and financial health of our employees and the ones they love. As such, candidates offered employment must show proof of COVID-19 vaccination or secure an approved accommodation prior to the commencement of employment to support the well-being of our employees, their families and the communities in which we live and work.Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.Primary LocationNA-US-Pennsylvania-Spring HouseOrganizationJanssen Research & Development, LLC (6084)Job FunctionAdministration


        Show more

        


        Show less",Not Applicable
Patterned Learning AI,Data Engineer (Entry Level ),"REMOTE (US/Canada Residing people only, with work permit)Patterned Learning – Data Engineer (Entry Level ) , FULL-TIME, Salary $90K - $130K a year.About us: The Future of AI is Patterned, a stealth-mode technology startup. Top investors include Sequoia and Anderson Horowitz, founders from Google, DeepMind, and NASA and we’re hiring for almost everything!About The JobRequired Skills and Experience:Experience in writing cloud-based softwareExpertise with AWS data processing products (Kinesis, S3, Lambda, etc.) or comparable (Redis, Kafka, Google DataFlow, etc.)Strong knowledge of relational DBs (Postgres, Snowflake, etc.) including SQL, data modeling, query tuning, etc.Experience delivering software products built using PythonExperience using professional software development practices, including: Agile processes, CI/CD, etc)Familiarity with distributed data processing frameworks (AWS Glue, Spark, Apache Beam, etc.)Familiarity with modern data analysis, dashboarding and machine learning tools (DBT, Fivetran, Looker, SageMaker, etc.)Special Benefits You Will LoveFlexible vacation, paid holidays, and paid sick days401(k) with up to 2% employer match (no match)Health, vision, and dental insuranceOptional supplemental insurance policies for things like accidents, injuries, hospitalizations, or cancer diagnosis and treatmentSchedule: 8 hour shift, Monday to Friday , Time: Flexible, Job Type: Full-time
      

        Show more

        


        Show less",Entry level
Intuit,Data Engineer III (Mailchimp),"OverviewMailchimp is a leading marketing platform for small businesses. We empower millions of customers around the world to build their brands and grow their companies with a suite of marketing automation, multichannel campaigns, CRM, and analytics tools.The Data Platform team at Mailchimp is responsible for creating and managing our BI platform that enables peeps from across the company to make better decisions with data. What that actually looks like is working with folks from across the company to understand their needs and then surface data in a meaningful way, across tools and teams, to help them drive the business forward. Day to day you could be building an ETL pipeline, designing a data access tool, modeling out new data in Looker, or working with teams to develop better data governance practices. We have a lot of tools in our toolbelt, but all with the main goal helping Mailchimp to continue to use data more effectively.Intuit Mailchimp is a hybrid workplace , giving employees the opportunity to collaborate in person with team members in our Atlanta and Brooklyn offices two or more days per week.What You'll BringExperience with Python, Java, Go, or another OOP languageExperience with SQL and data analysis skillsExperience with data transformation tools like dbt or DataformExperience in visualization technologies like Looker, Tableau, or Qlik SenseExperience with Airflow or other ETL orchestration toolsSolid business intuition and ability to understand and work with cross-functional partnersExperience with GCP/AWS or other cloud providers is preferredBachelors degree is Computer Science or equivalent experience Don’t meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification. At Mailchimp we are dedicated to building a diverse, inclusive and authentic workplace, so if you’re excited about this role but your past experience doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyways. You may be just the right candidate for this or other roles.How You Will LeadPartner with analysts, data scientists, business users, and other engineers to understand their needs and come up with data solutionsHelp build robust transformation pipelines to help clean up, normalize, and govern our data for broad consumptionHelp build scalable transformation pipelines that enables teams to easily clean up, normalize, and govern data for broad consumptionBuild tools and processes to help make the right data accessible to the right peopleModel data in Looker, to provide a collaborative data analytics platform for the companyWork with Data Stewards to better document our data


        Show more

        


        Show less",Mid-Senior level
2Bridge Partners,Data Engineer,"Well known NY based Non-Profit seeks a Data Engineer.An ideal candidate will have strong data engineering skills with both SQL and Python.This position can be based out of NYC or be 100% remote.Compensation includes salary, excellent medical, dental, vision benefits, pto, 401k, a quality of life oriented work life balance, and lots of other benefits.ResponsibilitiesThis position will work within the enterprise data engineering team to continuously build, maintain, and improve the design, performance, reliability, scalability, security, and architecture of enterprise data products.Responsibilities include:Develop robust database solutions, data integration (ETL, ELT) packages, automation, performance monitoring, SQL coding, database tuning and optimizations, security management, capacity planning, database HA, and database DR solutions across required data platforms.Conduct in-depth data analysis to support data product design.Identify and resolve production database and data integration issues.Collaborates closely with data quality, application, and visualization teams to deliver high-quality data products.Participate in code review, QA, release, and continuous deployment processes.Qualifications:Bachelors Degree in Computer Science or other quantitative disciplines such as Science, Statistics, Economics or Mathematics.5+ years of progressive database development experience with the Microsoft SQL Server family suite.Experience with data modeling and data architecture principles for both analytics and transactional systems.Hands-on experience with SQL Server, Oracle, or other RDBMS required.Python ScriptingExperience with Cloud Data PlatformsPreferred Experience:Scripting experience in Powershell, C#, Java, and/or R.Experience in the Microsoft Azure technology stack is a plus.Experience with data analytics and visualization is a plus.Preferred Knowledge:Intermediate knowledge of OLTP and OLAP database designIntermediate knowledge of data modeling (normalized and dimensional)Intermediate knowledge of ETL, ELT architecture especially for real and near-real-time scenariosIntermediate knowledge of Data Architecture implementation patternsAnticipated salary for candidates living in the NY Metro market in the 140,000 to 160,000 range.


        Show more

        


        Show less",Mid-Senior level
Laguna Games,Data Engineer,"Laguna Games is the developer of Crypto Unicorns, the #1 NFT project on Polygon, and now one of the fastest-growing games. We are looking to hire an experienced Data Engineer to join our team. You are self-motivated, goal-orientated, and a strong team player. As a Data Engineer, you will be responsible for designing, building, and maintaining the data infrastructure that supports our gaming platform. You will work closely with our product, engineering, and data science teams to collect, process, and analyze large amounts of data generated by our gaming platform to inform our business decisions and improve user experience. You will work and innovate at the forefront of web3 gaming, bringing together unique technologies to deliver a new gaming experience.As a Data Engineer at our Web3 Gaming Startup, Key Responsibilities:Develop and maintain the data pipeline that ingests, processes and stores large amounts of data generated by our gaming platformDesign and build scalable data solutions that support the real-time analytics and reporting needs of the businessCollaborate with the product, engineering and data science teams to identify and implement data-driven solutions to improve user engagement, retention and monetizationBuild and maintain data models, data warehouses and data marts to support business intelligence and reporting needsEnsure data quality, integrity and security across all data sources and systemsMonitor and optimize data performance and scalability, and identify and resolve any data-related issues and bottlenecksKeep up-to-date with the latest trends, tools and technologies in data engineering and apply them to improve our data infrastructureQualificationsBachelor's degree in Computer Science, Computer Engineering, or related field3+ years of experience in data engineering or related fieldExperience with big data technologies such as Hadoop, Spark, Kafka, and ElasticsearchStrong proficiency in SQL, Python and/or Java programming languagesExperience with cloud-based data solutions such as AWS, Azure or Google CloudFamiliarity with data modeling, ETL/ELT processes, data warehousing, and business intelligence toolsUnderstanding of blockchain technology and its use in gaming platforms is a plusExcellent communication skills, both written and verbal, and ability to collaborate with cross-functional teamsIf you are passionate about data engineering and excited about the opportunity to work in a fast-paced and dynamic startup environment, we would love to hear from you!Laguna Games is the developer of Crypto Unicorns, a new blockchain-based game centered around awesomely unique Unicorn NFTs that players use in a fun farming simulation and in a variety of exciting battle loops. As game developers, we are excited to move away from the extractive nature of Free-2-Play to foster and nurture community-run game economies. Crypto Unicorns is our first digital nation and we are extremely excited to build it in tandem with our player community!We are headquartered in San Francisco, CA but operate as a remote company with locations around the world. We offer competitive compensation along with health benefits (medical, dental, and vision), 401k retirement savings, open paid time off, and a remote work support stipend.Learn more here!https://laguna.gameshttps://www.cryptounicorns.fun
      

        Show more

        


        Show less",Entry level
Nike,Data Engineer,"Become a Part of the NIKE, Inc. TeamNIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.Nike USA, Inc., located in Beaverton, OR. Design and implement data products and features in collaboration with product owners, data analysts, and business partners using Agile / Scrum methodology. Contribute to overall architecture, frameworks and patterns for processing and storing large data volumes. Evaluate and utilize new technologies/tools/frameworks centered around high-volume data processing. Translate product backlog items into engineering designs and logical units of work. Profile and analyze data for the purpose of designing scalable solutions. Define and apply appropriate data acquisition and consumption strategies for given technical scenarios. Design and implement distributed data processing pipelines using tools and languages prevalent in the big data ecosystem. Build utilities, user defined functions, libraries, and frameworks to better enable data flow patterns. Implement complex automated routines using workflow orchestration tools. Anticipate, identify and tackle issues concerning data management to improve data quality. Build and incorporate automated unit tests and participate in integration testing efforts. Utilize and advance continuous integration and deployment frameworks.Applicant must have a Bachelor’s degree in Data Science, Computer Engineering, Computer Science, or Computer Information Systems and five (5) years of progressive post-baccalaureate experience in the job offered or engineering-related occupation. Experience must include the following- Programming ability (Python, SQL);  Database related concept;  Big Data exposure;  Spark;  Airflow (Orchestration tools);  Cloud Solutions;  Software/Data design ability;  CI/CD understanding and implementation;  Code review;  Data Architecture; and  AWS, Azure. NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.]]>


        Show more

        


        Show less",Entry level
Yakoa,Data Engineer,"We're looking for a forward-thinking, structured problem solver, and technical specialist passionate about building systems at scale. You will be among the first to tap into massive blockchain datasets, to construct data infrastructure that makes possible analytics, data science, machine learning, and AI workloads.As the data domain specialist, you will partner with a cross-functional team of product engineers, analytics specialists, and machine learning engineers to unify data infrastructure across Yakoa's product suite. Requirements may be vague, but the iterations will be rapid, and you must take thoughtful and calculated risks. Your work will take place at the interface of the AI, blockchain, and intellectual property domains, so you must be a quick learner with a thirst for many types of knowledge.ResponsibilitiesDesign, build, test, and maintain scalable data pipelines and microservices sourcing both first-party and third-party datasets and deploying distributed (cloud) structures and other applicable storage forms such as vector databases and relational databases.Index multiple blockchain data standards into responsive data environments, and tune those environments to power real-time query infrastructure.Design and optimize data storage schemas to make terabytes of data readily accessible to our API.Build utilities, user-defined functions, libraries, and frameworks to better enable data flow patterns.Utilize and advance continuous integration and deployment frameworks.Research, evaluate and utilize new technologies/tools/frameworks centered around high-volume data processing.Mentor other engineers while serving as technical lead, contributing to and directing the execution of complex projects.Requirements4+ years working as a data engineer.Proficient in database schema design, and analytical and operational data modeling.Proven experience working with large datasets and big data ecosystems for computing (spark, Kafka, Hive, or similar), orchestration tools (dagster, airflow, oozie, luigi), and storage(S3, Hadoop, DBFS).Experience with modern databases (PostgreSQL, Redshift, Dynamo DB, Mongo DB, or similar).Proficient in one or more programming languages such as Python, Java, Scala, etc., and rock-solid SQL skills.Experience building CI/CD pipelines with services like Bitbucket Pipelines or GitHub Actions.Proven analytical, communication, and organizational skills and the ability to prioritize multiple tasks at a given time.An open mind to try solutions that may seem astonishing at first.An MS in Computer Science or equivalent experience.Exceptional candidates also have:Experience with Web3 tooling.Experience with artificial intelligence, machine learning, and other big data techniques.B2B software design experience.No crypto or Web3 experience? No problem! We’ll help coach you and cover any costs for educational materials for your growth.BenefitsUnlimited PTO. Competitive compensation packages. Remote friendly & flexible hours. Wellness packages for mental and physical health.


        Show more

        


        Show less",Mid-Senior level
