company,job-title,job-description,level
UCLA Health,Junior Software Engineer -  Jonsson Cancer Center,"DescriptionThe newly formed Cancer Data Sciences group at the UCLA David Geffen School of Medicine and UCLA Jonsson Comprehensive Cancer Center is seeking a programmer/analyst with research and development experience. This position will be working with a broad team of Data Scientists, developing new quantitative strategies to improve our understanding and ability to treat cancer. Our team is passionate about applying their knowledge of software-development and design to improve scientific research. We develop scalable and distributed software solutions that maximize utilization of both local high-performance computer infrastructure and a growing set of cloud-based assets. Our datasets comprise hundreds of terrabytes, and are growing rapidly, creating fascinating problems in storage, access, parallelization, distributability, optimization, containerization and core algorithm design. This requires a strong background in computer science, providing a platform for technical leadership, but linked to strong personal communication and leadership skills, to help ensure insights are broadly adopted. The successful candidate will be helping us perform research that will transform the lives of cancer patients. Your responsibilities will be to use your design, analysis and programming skills to create Data Science software, optimize existing code and improve its quality and improve distributability boost productivity of the entire team. You may have experience in data-intensive software-development or research, or you may be experienced with software-engineering in an enterprise environment. You will help drive professional-level design and development practices throughout the entire team, and serve as a local point of expertise for workflow optimization and containerization. You will be rewsponsible for one major and several minor projects at any point in time. We are in a rapid growth-phase, and the successful candidate will be involved in hiring of new team members. Beyond your strong inter-personal skills and computer science background, you will have experience with either systems software, databases or algorithms, linked to implementation skills at least one of C++, R, Perl or Python. You will be comfortable in UNIX/Linux environments and using continuous integration and CASE tools. Salary Range: $5525-$10925 Monthly
      

        Show more

        


        Show less",Entry level
Neural Magic,Machine Learning Engineer,"Neural Magic is an early-stage AI software company democratizing high performance for deep learning models. Our goal is to reduce the cost and increase the performance of end-users deploying deep learning applications. Based on decades of research at MIT, Neural Magic has developed a software platform that allows developers to sparsify deep learning models to minimize footprint and run on CPUs at GPU speeds. Please look through our website and GitHub repos to get a feel of what we are about.Founded by an award-winning team of computer scientists and researchers out of MIT, we are a venture-backed company headquartered in Davis Square, Somerville, MA. Our investors include Amdocs, Andreessen Horowitz, Comcast Ventures, NEA, and Pillar VC.We are seeking a machine learning engineer to work closely with our product and research teams to develop SOTA deep learning software. This person will work closely with our technical and research teams to develop training and deployment pipelines, implement model compression algorithms, and productize deep learning research. If you are someone who wants to contribute to solving challenging technical problems at the forefront of deep learning, this is the role for you!ResponsibilitiesUse your understanding of machine learning to tackle meaningful technical problemsCollaborate with research and product development teams to build machine learning productsPrototype and implement appropriate ML algorithms, tools, and pipelinesCreate and manage training and deployment pipelinesCollaborate with a cross-functional team about market requirements and best practicesKeep abreast of developments in the fieldRequirementsProven experience as a machine learning engineer or similar roleSolid knowledge of machine learning and deep learning fundamentals with experience in one or more of computer vision, NLP, speech, reinforcement learning, generative models, etcKnowledge of common ML frameworks (like PyTorch or Keras) and libraries (like NumPy and scikit-learn)Strong programming skills with proven experience implementing Python-based machine learning solutionsAbility to interpret and implement research ideas and algorithmsCreative, collaborative, and innovation-focusedStrong sense of project ownership and personal responsibilityBachelor's in Computer Science, Mathematics or similar fieldBenefitsHealth Care Plan (Medical, Dental & Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Short Term & Long Term DisabilityTraining & DevelopmentWork From HomeFree Food & SnacksWellness ResourcesStock Option PlanWe are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
      

        Show more

        


        Show less",Associate
Neural Magic,Machine Learning Research Engineer,"Neural Magic is an early-stage AI software company democratizing high performance for deep learning models. Our goal is to reduce the cost and increase the performance of end-users deploying deep learning applications. Based on decades of research at MIT, Neural Magic has developed a software platform that allows developers to sparsify deep learning models to minimize footprint and run on CPUs at GPU speeds. Please look through our website and GitHub repos to get a feel of what we are about.Founded by an award-winning team of computer scientists and researchers out of MIT, we are a venture-backed company headquartered in Davis Square, Somerville, MA. Our investors include Amdocs, Andreessen Horowitz, Comcast Ventures, NEA, and Pillar VC.We are seeking a machine learning research engineer to work closely with our research team implementing deep learning research and using model compression techniques. This person identify, report on, and create new algorithms and models within the deep learning field. If you are someone who wants to contribute to solving challenging technical problems at the forefront of deep learning, this is the role for you!ResponsibilitiesUse your understanding of machine learning to tackle meaningful technical problemsCollaborate with research and product development teams to transform research ideas into product solutionsResearch and implement appropriate ML algorithms and toolsRun machine learning tests and experiments while optimizing hyperparametersPerform statistical analysis and fine-tuning using test resultsKeep abreast of developments in the fieldRequirementsProven experience as a machine learning researcher, engineer, or similar roleSolid knowledge of machine learning and deep learning fundamentals with experience in one or more of computer vision, NLP, speech, reinforcement learning, generative models, etcKnowledge of common ML frameworks (like PyTorch or Keras) and libraries (like NumPy and scikit-learn)Strong programming skills with proven experience implementing Python-based machine learning solutionsAbility to interpret and implement research ideas and algorithmsCreative, collaborative, and innovation-focusedStrong sense of project ownership and personal responsibilityMaster's in Computer Science, Mathematics or similar fieldBenefitsHealth Care Plan (Medical, Dental & Vision)Retirement Plan (401k, IRA)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)Short Term & Long Term DisabilityTraining & DevelopmentWork From HomeFree Food & SnacksWellness ResourcesStock Option PlanWe are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.
      

        Show more

        


        Show less",Mid-Senior level
Patterned Learning AI,Data Scientist (Entry Level ),"REMOTE (US/Canada Residing people only, with work permit)Patterned Learning – Data Scientist (Entry Level ) , FULL-TIME, Salary $100K - $130K a year.About us: The Future of AI is Patterned, a stealth-mode technology startup. Top investors include Sequoia and Anderson Horowitz, founders from Google, DeepMind, and NASA and we’re hiring for almost everything!About The Job RequirementsM.S. or PhD in Data Science/Electrical Engineering/Computer ScienceExperience in machine learning, data science or similar rolesExperience with version control systems, collaborative coding frameworks and scalable engineering tools such as DockerSolid understanding of the theory and practice of machine learning algorithmsExperience building functional prototypes and/or products in PythonDSP or/and timeseries analysis an advantageKnowledge of human physiology and bioelectric or optical sensing techniques is a nice bonusCollaborative approach with strong written and verbal communication skillsEfficient, creative and able to manage multiple projects concurrentlySpecial Benefits You Will LoveFlexible vacation, paid holidays, and paid sick days401(k) with up to 2% employer match (no match)Health, vision, and dental insurance.Schedule: 8 hour shift, Monday to Friday , Time: Flexible, Job Type: Full-time
      

        Show more

        


        Show less",Entry level
Wayve,Machine Learning Engineer,"WHO ARE WE?Our team is the first in the world to use autonomous vehicles on public roads using end-to-end deep learning, computer vision and reinforcement learning. Leveraging our multi-national world-class research team we're focusing on using less data to learn more intelligent algorithms to bring autonomy for everyone, everywhere. We aim to be the future of self-driving cars, not vehicles that are told how to drive through hand-coded rules and maps, but ones which learn from experience and data.WHERE YOU'LL HAVE AN IMPACTWe're looking for bold, talented and creative people to join our journey in developing next-generation autonomous vehicles. We're a growing start-up, building our first cohort of engineers and you can be at the heart of this!We are looking for ML Engineers to help productionize an end-to-end self driving neural network for autonomous driving. You'll be working closely with Platform and Research teams to integrate, test and scale ML features for production. Productionizing and scaling our ML models by working across Data, Validation, Platform and Research is a core component of this role and why we need you!What You'll Bring To WayveExperience in shipping ML features and in applied researchPassion to take research ideas to productionGood grasp of machine learning literatureExperience in working in platform teams and working with research teamsGood insight into the training, validation, testing and metrics for deep learning features/modelsAbility to write high quality, well-structured and tested Python codeSolid experience working with concurrent, parallel and distributed computingComfortable working with and visualising huge data setsKnowledge of computing fundamentals - what makes code fast, secure and reliableBS or MS in Machine Learning, Computer Science, Engineering, or a related technical discipline or equivalent experienceWhat We Offer YouAttractive compensation with salary and equityImmersion in a team of world-class researchers, engineers and entrepreneursA unique position to shape the future of autonomous driving and to tackle the biggest challenge of our timeBespoke learning and development opportunitiesRelocation support with visa sponsorshipFlexible working hours - we trust you to do your job well, at times that suit you and your teamPrivate on-site chef, in-house bar, lots of socials, and more!Wayve is built by people from all walks of life. We believe that it is our differences that make us stronger, and our unique perspectives and backgrounds that allow us to build something different. We are proud to be an equal opportunities workplace, where we don't just embrace diversity but nurture it - so that we all thrive and grow.


        Show more

        


        Show less",Entry level
LVIS,Machine Learning Engineer - Mlops,"LVIS is a leader in cutting edge neural information analysis technology that decodes brain networks and provides visualizations assisting neurological disease diagnosis. LVIS owns patented technologies and our team includes leaders with strong expertise in neuroscience and engineering. LVIS has been selected to be a member of the Stanford StartX community and the NVIDIA inception program. We are an international team with our headquarter located in Palo Alto, California, USA and an office in Gangnam, Seoul, South Korea. We are looking for talented individuals to join us in transforming the neurology health care industry.ResponsibilitiesDeep learning model deployment for medical web applications.Machine learning system stability testing and optimization.Model compression with pruning, quantization and distillation.Collaborate with data scientists and software engineers to optimize deep learning model performance.RequirementsMinimum Required QualificationsMS or PHD in Computer Science, Statistics, Electrical Engineering, Applied Math, and other similar fields.Deep understanding of the machine learning algorithms and systems, especially convolutional neural networks.Proficient in python and python machine learning packages, such as numpy, scikit learn, pytorch, keras, etc.Preferred To HaveHands-on experience of model deployment in the cloud (AWS, Azure or GCP).Experience of model compression techniques.Experiences in medical image/signal processing and data analysis.Other InformationJob type: Full-time.U.S. citizens, green card holders, and those authorized to work in the U.S. for any employer will be considered.Willing to work onsite at our Palo Alto location.


        Show more

        


        Show less",Mid-Senior level
Verneek,Machine Learning Engineer,"Do you want to be part of the core team for building the next one-of-a-kind tech companies that can potentially change your career's trajectory?! We are striving to build the future of decision-making at Verneek. Come join us!If you are fed up with how little impact you are making at your current job despite all the hard work, if you are bored with your job where you cannot learn or innovate anymore, Verneek could be a perfect opportunity for you: a new deep-tech AI startup, where you'd get to learn, innovate, and leave your mark every single day.We are looking for a stellar & highly ambitious machine learning engineer as one of the first employees to help build complex AI/NLP models supporting the Verneek AI platform! You'll get to work on fundamental AI research problems, but all grounded within the scope of our particular AI platform. It'll be all much more rewarding and influential than working on narrow AI benchmarks! :)Every day, you'll get to solve very unique, highly complex, and socially impactful problems. This is an early-stage startup, so we'll be moving super-fast and there will be no legacy obstacles on your way to make a significant impact. Whatever you do every hour of every day counts!!ResponsibilitiesImplement, scale, and maintain complex AI/NLP models supporting the Verneek AI platformRequirementsMINIMUM QUALIFICATIONS BSc. degree in Computer Science or related fields3+ years of experience with Python3+ years hands-on experience developing architectures with machine learning frameworks such as Tensorflow/PyTorchDemonstrated AI/NLP engineering skillset through having deployed largescale AI/NLP systems to productionWork authorization in the USA at the time of hireContinuing work authorization during employment can be sponsored by VerneekPreferred QualificationsMSc. degree in Computer Science or related fieldsExperience in Natural Language Understanding, Dialogue Systems, Semantic Parsing, Transfer Learning and learning with limited dataBenefitsMedical, dental, vision, disability, and life insurance401K matching contributionsFlexible PTOCareer growth support through sponsoring learning opportunities and mentorshipAbout VerneekVerneek is an early-stage deep-tech AI startup, based in NYC, founded by a team of leading AI research scientists and backed by a group of world-renowned business and AI leaders. Verneek recently closed its first round of financing and is now hiring its first ten employees, with tremendous growth & leadership opportunities.Verneek MissionQuintillion bytes of data get generated every day!! Leveraging this data for data-informed decision-making for societal, personal, and business matters is more viable and crucial than ever. Verneek's mission is to enable anyone to make data-informed decisions, be personal or business, without needing to have any technical background.Verneek CultureYou can get a visual sense of our culture here: https://www.verneek.com/culture.It’s often hard to put “culture” into words. We all absolutely love what we do, care about each other, share all sorts of meals together, celebrate all kinds of events together, and work tirelessly with the excitement of making a difference through technical innovation. We are enjoying the journey, and going through all the ups and downs together.We are building a truly different kind of a company where we put the well-being, career growth, and overall happiness of our team as our north star, through which we can deliver on our highly ambitious mission. We are determined to make sure that every individual’s career and life goals will be well aligned with their role at Verneek. We are striving to hit a balance between each employees’ personal growth and their productivity in their role. We firmly believe that everyone can hit their productivity stride when they are learning and growing every single day, working towards meaningful goals; which is the case at Verneek.We are just getting started! The initial core Verneek team will be playing a crucial role in shaping the culture of the company moving forward. We are looking for highly ambitious individuals who can take the lead in driving various aspects of the company, and help us shape its lasting culture.
      

        Show more

        


        Show less",Mid-Senior level
Yakoa,Machine Learning Engineer,"We’re looking for people who want to build for the future of Web3. You’ll be building customer-facing products that help shape the way intellectual property is processed and handled.ResponsibilitiesTrain and deploy deep learning models to power Yakoa’s intellectual property tracing capabilities.Own the implementation of capabilities by taking responsibility from inception to deployment.Uphold our high engineering standards by bringing consistency and repeatability to the training, evaluation, and deployment processes.Mentor software engineers while serving as technical lead, contributing to and directing the execution of complex projectRequirements5+ years working as a machine learning engineer or researcher.Experience managing model deployment pipelines on cloud services like AWS.Familiarity with state-of-the-art deep learning models across computer vision and natural language processing.Proficiency in Python, and PyTorch.Exceptional candidates also haveExperience with Web3 toolingB2B software design experienceBenefitsUnlimited PTO.Competitive compensation packages.Remote friendly & flexible hours.Wellness packages for mental and physical health.No crypto or Web3 experience? No problem! We’ll help coach you and cover any costs for educational materials for your growth.


        Show more

        


        Show less",Mid-Senior level
"Chemix, Inc.",Machine Learning Research Engineer Internship,"Chemix is seeking a highly-motivated graduate-level machine learning research engineer intern to help develop and expand our internal AI capabilities for battery materials discovery. Our AI platform is the core of Chemix. Though data is first and foremost in any application of AI, it is typically very scarce in materials development. We've designed our entire R&D operation to generate battery materials datasets of unprecedented size and quality. As a machine learning research engineer intern at Chemix, your mission is to work with our machine learning scientists to (i) suggest, prototype, and test new algorithms, and (ii) design and build the machine learning pipelines that turn our data into actionable results. You'll make a fundamental contribution to developing the batteries that will power the electrification revolution in transportation and beyond.As an early employee at a fast-moving startup, we expect you to quickly and creatively solve all kinds of technical problems, including those beyond your core expertise. An ideal candidate is able to learn quickly, is eager to stretch their knowledge of the ML and data software stack, takes pride in the quality of their work, and wants to make a real impact in energy storage technologies for electric transportation.Responsibilities:Suggest, prototype, and test new ML algorithms based on our large materials datasetsDiscover and introduce new ML models, statistical methods, software frameworks, and libraries Contribute code to Chemix's internal codebase (Python)Interface with our data scientists, data/software engineers, and battery engineers Implement best practices for code development and ML-ops, experiment tracking, etcInform the optimization of the R&D process that generates our dataRequirementsIn-progress, or recently completed, MS or PhD in applied machine learning or adjacent field.Experience with core data science, machine learning, and statistics conceptsExperience with the python data ML stack: pandas, numpy, sklearn, pytorch / tensorflowExperience with the fundamentals of ML and software ops: git, testing, CI/CD, experiment tracking, cloud computingClear communication and good people skillsStrong organization and ability to manage parallel projectsNice to have:Previous battery data experienceFamiliarity with experimental chemistry/materials scienceBenefitsStock Option PlanHealth Care Plan (Medical, Dental & Vision)Retirement Plan (401k)Paid Time Off (Vacation, Sick & Public Holidays)Family Leave (Maternity, Paternity)


        Show more

        


        Show less",Internship
Patterned Learning AI,Junior Machine Learning Engineer,"REMOTE (US/Canada Residing people only, with work permit)Patterned Learning – Junior Machine Learning Engineer , FULL-TIME, Salary $90K - $130K a year.About us: The Future of AI is Patterned, a stealth-mode technology startup. Top investors include Sequoia and Anderson Horowitz, founders from Google, DeepMind, and NASA and we’re hiring for almost everything!About The Job Requirements2 years of experience, or an advanced degree (MSc).Experience in applied Deep Learning (DL) and Computer Vision (CV) concepts including but are not limited to: CNNs, RNNs, Autoencoders, Transfer Learning.Hands-on experience (academic and/or industrial) in 3D Pose Estimation and Motion reconstruction from images and videosProficiency in general purpose programming languages: Python, and C++.Experience with ML frameworks such as: PyTorch, Tensorflow, etc.The ideal candidate would be very well acquainted with Computer Graphics techniques, Neural Rendering, and Numerical Optimization(Optional) Knowledge of 3D packages such as Blender, Maya, or any game engine technologyBSc in Computer Science, Mathematics, Electrical Engineering, or related technical field.Ability to speak and write in English fluently and idiomatically.Special Benefits You Will LoveFlexible vacation, paid holidays, and paid sick days401(k) with up to 2% employer match (no match)Health, vision, and dental insuranceOptional supplemental insurance policies for things like accidents, injuries, hospitalizations, or cancer diagnosis and treatment.Schedule: 8 hour shift, Monday to Friday , Time: Flexible, Job Type: Full-time
      

        Show more

        


        Show less",Entry level
